UniProtID,ProteinID,Protein names,Gene,Gene2,Gene3,Gene4,Gene5,Gene6,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
A0A0A0MT89,KJ01_HUMAN,Immunoglobulin kappa joining 1,IGKJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1U3,LV136_HUMAN,Immunoglobulin lambda variable 1-36,IGLV1-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1U7,HV601_HUMAN,Immunoglobulin heavy variable 6-1,IGHV6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1V0,HV315_HUMAN,Immunoglobulin heavy variable 3-15,IGHV3-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1V2,HV226_HUMAN,Immunoglobulin heavy variable 2-26,IGHV2-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1V6,HV373_HUMAN,Immunoglobulin heavy variable 3-73,IGHV3-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1X5,HV374_HUMAN,Immunoglobulin heavy variable 3-74,IGHV3-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1X8,HV343_HUMAN,Immunoglobulin heavy variable 3-43,IGHV3-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1Y8,LV949_HUMAN,Immunoglobulin lambda variable 9-49,IGLV9-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J1Y9,HV372_HUMAN,Immunoglobulin heavy variable 3-72,IGHV3-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J2F0,PIOS1_HUMAN,Protein PIGBOS1 (PIGB opposite strand protein 1),PIGBOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0B4J2H0,HV69D_HUMAN,Immunoglobulin heavy variable 1-69D,IGHV1-69D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH24,KV621_HUMAN,Immunoglobulin kappa variable 6-21,IGKV6-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH25,KVD20_HUMAN,Immunoglobulin kappa variable 3D-20,IGKV3D-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH29,HV103_HUMAN,Immunoglobulin heavy variable 1-3,IGHV1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH31,HV118_HUMAN,Immunoglobulin heavy variable 1-18,IGHV1-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH33,HV124_HUMAN,Immunoglobulin heavy variable 1-24,IGHV1-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH34,HV428_HUMAN,Immunoglobulin heavy variable 4-28,IGHV4-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH36,HV338_HUMAN,Probable non-functional immunoglobulin heavy variable 3-38,IGHV3-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH38,HV551_HUMAN,Immunoglobulin heavy variable 5-51,IGHV5-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH43,HV70D_HUMAN,Immunoglobulin heavy variable 2-70D,IGHV2-70D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0G2JS06,LV539_HUMAN,Immunoglobulin lambda variable 5-39,IGLV5-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0J9YX35,HV64D_HUMAN,Immunoglobulin heavy variable 3-64D,IGHV3-64D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0J9YXQ4,PMA6E_HUMAN,Paraneoplastic antigen Ma6E,PNMA6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0J9YXX1,HV5X1_HUMAN,Immunoglobulin heavy variable 5-10-1,IGHV5-10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0U1RRL7,MMPOS_HUMAN,Protein MMP24OS (MMP24 opposite strand),MMP24OS,MMP24-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GUS4,UB2L5_HUMAN,Ubiquitin-conjugating enzyme E2 L5 (EC 2.3.2.23) (Ubiquitin-protein ligase L5),UBE2L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GUY1,MRCOL_HUMAN,MARCO-like protein,MARCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GV03,GG6L7_HUMAN,Golgin subfamily A member 6-like protein 7,GOLGA6L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GV96,A0A1B0GV96_HUMAN,Uncharacterized protein,LOC105371267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A1B0GWB2,PRT1B_HUMAN,Proline rich transmembrane protein 1B,PRRT1B,IFITMD8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0AV96,RBM47_HUMAN,RNA-binding protein 47 (RNA-binding motif protein 47),RBM47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0AVT1,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),UBA6,MOP4,UBE1L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0FGR8,ESYT2_HUMAN,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),ESYT2,FAM62B,KIAA1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0M8Q6,IGLC7_HUMAN,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),IGLC7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0MZ66,SHOT1_HUMAN,Shootin-1 (Shootin1),SHTN1,KIAA1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0PJK1,SC5AA_HUMAN,Sodium/glucose cotransporter 5 (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),SLC5A10,SGLT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0PJW6,TM223_HUMAN,Transmembrane protein 223,TMEM223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0PJW8,DAPL1_HUMAN,Death-associated protein-like 1 (Early epithelial differentiation-associated protein),DAPL1,EEDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1A5D9,BICL2_HUMAN,BICD family-like cargo adapter 2 (Bicaudal D-related protein 2) (BICD-related protein 2) (BICDR-2) (Coiled-coil domain-containing protein 64B),BICDL2,BICDR2,CCDC64B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1IGU5,ARH37_HUMAN,Rho guanine nucleotide exchange factor 37,ARHGEF37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1L020,MEX3A_HUMAN,RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4),MEX3A,RKHD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1L0T0,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),ILVBL,AHAS,HACL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1L170,CA226_HUMAN,Uncharacterized protein C1orf226,C1orf226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1X283,SPD2B_HUMAN,SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains),SH3PXD2B,FAD49,KIAA1295,TKS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1Z1Q3,MACD2_HUMAN,ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-),MACROD2,C20orf133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RRH5,WDR27_HUMAN,WD repeat-containing protein 27,WDR27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RRP1,NBAS_HUMAN,Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein),NBAS,NAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RTX5,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)",TARS3,TARSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RU49,HYKK_HUMAN,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1),HYKK,AGPHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RUB1,MEIOC_HUMAN,Meiosis-specific coiled-coil domain-containing protein MEIOC (Meiosis-specific with coiled-coil domain protein),MEIOC,C17orf104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2RUS2,DEND3_HUMAN,DENN domain-containing protein 3,DENND3,KIAA0870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VDF0,FUCM_HUMAN,Fucose mutarotase (EC 5.1.3.29),FUOM,C10orf125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VDJ0,T131L_HUMAN,Transmembrane protein 131-like,TMEM131L,KIAA0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3KMH1,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2),VWA8,KIAA0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3KN83,SBNO1_HUMAN,Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3),SBNO1,MOP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4D161,F221A_HUMAN,Protein FAM221A,FAM221A,C7orf46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4D1E9,GTPBA_HUMAN,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),GTPBP10,OBGH2,UG0751c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4D1P6,WDR91_HUMAN,WD repeat-containing protein 91,WDR91,HSPC049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4D1S0,KLRG2_HUMAN,Killer cell lectin-like receptor subfamily G member 2 (C-type lectin domain family 15 member B),KLRG2,CLEC15B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4FU01,MTMRB_HUMAN,Myotubularin-related protein 11 (Cisplatin resistance-associated protein) (hCRA) (Inactive phosphatidylinositol 3-phosphatase 11),MTMR11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4FU69,EFCB5_HUMAN,EF-hand calcium-binding domain-containing protein 5,EFCAB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4UGR9,XIRP2_HUMAN,Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin),XIRP2,CMYA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5D8V6,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C),VPS37C,PML39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5YKK6,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),CNOT1,CDC39,KIAA1007,NOT1,AD-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NC97,F172B_HUMAN,Putative protein FAM172B (FAM172B pseudogene),FAM172BP,FAM172B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NC98,CC88B_HUMAN,Coiled-coil domain-containing protein 88B (Brain leucine zipper domain-containing protein) (Gipie) (Hook-related protein 3) (HkRP3),CCDC88B,BRLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NCS6,CB072_HUMAN,Uncharacterized protein C2orf72,C2orf72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6ND36,FA83G_HUMAN,Protein FAM83G (Protein associated with SMAD1),FAM83G,PAWS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6ND91,ASPD_HUMAN,Putative L-aspartate dehydrogenase (EC 1.4.1.21) (Aspartate dehydrogenase domain-containing protein),ASPDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NDB9,PALM3_HUMAN,Paralemmin-3,PALM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NDG6,PGP_HUMAN,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),PGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NDU8,CE051_HUMAN,UPF0600 protein C5orf51,C5orf51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NE02,BTBDH_HUMAN,BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like),BTBD17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NET4,OR5K3_HUMAN,Olfactory receptor 5K3,OR5K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NGB9,WIPF3_HUMAN,WAS/WASL-interacting protein family member 3 (Corticosteroids and regional expression protein 16 homolog),WIPF3,CR16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NGN9,IGLO5_HUMAN,IgLON family member 5,IGLON5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHC0,CAN8_HUMAN,Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain),CAPN8,NCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHL2,TBAL3_HUMAN,Tubulin alpha chain-like 3,TUBAL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHQ2,FBLL1_HUMAN,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase),FBLL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHR9,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1,KIAA0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NHX0,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2),CASTOR2,GATSL1,GATSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NI72,NCF1B_HUMAN,Putative neutrophil cytosol factor 1B (NCF-1B) (Putative SH3 and PX domain-containing protein 1B),NCF1B,SH3PXD1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NIH7,U119B_HUMAN,Protein unc-119 homolog B,UNC119B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NJ64,NPIB2_HUMAN,Putative nuclear pore complex-interacting protein family member B2,NPIPB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NJ78,MET15_HUMAN,12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15),METTL15,METT5D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NJT0,UNC4_HUMAN,Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1),UNCX,UNCX4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NK44,GLOD5_HUMAN,Glyoxalase domain-containing protein 5,GLOD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NKD9,CC85C_HUMAN,Coiled-coil domain-containing protein 85C,CCDC85C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NKF1,SAC31_HUMAN,SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1),SAC3D1,SHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NKG5,RTL1_HUMAN,Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11),RTL1,Mar-01,MART1,PEG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NKN8,PC4L1_HUMAN,Purkinje cell protein 4-like protein 1 (PCP4-like protein 1),PCP4L1,IQM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NLP5,TTC36_HUMAN,Tetratricopeptide repeat protein 36 (TPR repeat protein 36) (HSP70-binding protein 21),TTC36,HBP21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NMZ7,CO6A6_HUMAN,Collagen alpha-6(VI) chain,COL6A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
